2025-12-30 04:20:16.600200 | 192.168.203.133 -> 192.168.203.2 | UDP | Sport: 37998, Dport: 53
2025-12-30 04:20:16.636603 | 192.168.203.133 -> 192.168.203.2 | UDP | Sport: 50050, Dport: 53
2025-12-30 04:20:16.644595 | 192.168.203.133 -> 192.168.203.2 | UDP | Sport: 50050, Dport: 53
2025-12-30 04:20:16.689947 | 192.168.203.2 -> 192.168.203.133 | UDP | Sport: 53, Dport: 50050
2025-12-30 04:20:16.692137 | 192.168.203.2 -> 192.168.203.133 | UDP | Sport: 53, Dport: 37998
2025-12-30 04:20:16.718330 | 192.168.203.2 -> 192.168.203.133 | UDP | Sport: 53, Dport: 50050
2025-12-30 04:20:16.722559 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57712, Dport: 443
2025-12-30 04:20:16.729051 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57726, Dport: 443
2025-12-30 04:20:16.736152 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57712
2025-12-30 04:20:16.747482 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57726
2025-12-30 04:20:16.750955 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57712, Dport: 443
2025-12-30 04:20:16.756760 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57726, Dport: 443
2025-12-30 04:20:16.763326 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57712, Dport: 443
2025-12-30 04:20:16.775107 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57712
2025-12-30 04:20:16.784562 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57712
2025-12-30 04:20:16.785818 | 192.168.203.133 -> 192.168.203.2 | UDP | Sport: 41035, Dport: 53
2025-12-30 04:20:16.787482 | 192.168.203.133 -> 192.168.203.2 | UDP | Sport: 41035, Dport: 53
2025-12-30 04:20:16.797068 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57726, Dport: 443
2025-12-30 04:20:16.799197 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57726
2025-12-30 04:20:16.806788 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57726
2025-12-30 04:20:16.816684 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57734, Dport: 443
2025-12-30 04:20:16.823557 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57750, Dport: 443
2025-12-30 04:20:16.833512 | 192.168.203.2 -> 192.168.203.133 | UDP | Sport: 53, Dport: 41035
2025-12-30 04:20:16.847891 | 192.168.203.2 -> 192.168.203.133 | UDP | Sport: 53, Dport: 41035
2025-12-30 04:20:16.850516 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57712
2025-12-30 04:20:16.855530 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57712, Dport: 443
2025-12-30 04:20:16.860007 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57734
2025-12-30 04:20:16.864621 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57734, Dport: 443
2025-12-30 04:20:16.866369 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57750
2025-12-30 04:20:16.868923 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57750, Dport: 443
2025-12-30 04:20:16.876720 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57726
2025-12-30 04:20:16.880358 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57726, Dport: 443
2025-12-30 04:20:16.888859 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57734, Dport: 443
2025-12-30 04:20:16.890042 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57734
2025-12-30 04:20:16.901422 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57734
2025-12-30 04:20:16.927794 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57750, Dport: 443
2025-12-30 04:20:16.930697 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57750
2025-12-30 04:20:16.934976 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57750
2025-12-30 04:20:16.936042 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57726, Dport: 443
2025-12-30 04:20:16.942256 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57726
2025-12-30 04:20:16.950521 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57712, Dport: 443
2025-12-30 04:20:16.952055 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57712
2025-12-30 04:20:16.959228 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57712, Dport: 443
2025-12-30 04:20:16.970414 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57726, Dport: 443
2025-12-30 04:20:16.971851 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57712
2025-12-30 04:20:16.974368 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57726
2025-12-30 04:20:16.978657 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57712, Dport: 443
2025-12-30 04:20:16.982572 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57712
2025-12-30 04:20:16.983367 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57734
2025-12-30 04:20:16.986572 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57734, Dport: 443
2025-12-30 04:20:16.988026 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57712, Dport: 443
2025-12-30 04:20:16.994704 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57750
2025-12-30 04:20:16.995226 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57726
2025-12-30 04:20:16.995984 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57712
2025-12-30 04:20:16.996564 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57750, Dport: 443
2025-12-30 04:20:16.997019 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57726, Dport: 443
2025-12-30 04:20:16.997383 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57712, Dport: 443
2025-12-30 04:20:16.998138 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57712
2025-12-30 04:20:17.005124 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57712, Dport: 443
2025-12-30 04:20:17.009987 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57726, Dport: 443
2025-12-30 04:20:17.011066 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57726
2025-12-30 04:20:17.011759 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57734, Dport: 443
2025-12-30 04:20:17.012562 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57750, Dport: 443
2025-12-30 04:20:17.013125 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57734
2025-12-30 04:20:17.014576 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57750
2025-12-30 04:20:17.018882 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57726, Dport: 443
2025-12-30 04:20:17.019666 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57726, Dport: 443
2025-12-30 04:20:17.020847 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57726
2025-12-30 04:20:17.025091 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57726, Dport: 443
2025-12-30 04:20:17.026161 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57726
2025-12-30 04:20:17.026790 | 151.101.209.91 -> 192.168.203.133 | TCP | Sport: 443, Dport: 57726
2025-12-30 04:20:17.027534 | 192.168.203.133 -> 151.101.209.91 | TCP | Sport: 57750, Dport: 443
